0.00101,0.00047
0.00217,0.00031
0.00132,0.00035
0.00147,0.00044
0.00085,0.00027
0.00090,0.00032
0.00129,0.00045
0.00135,0.00039
0.00132,0.00041
0.00143,0.00064
0.00153,0.00033
0.00091,0.00028
0.00119,0.00048
0.00110,0.00026
0.00099,0.00024
0.00082,0.00024
0.00096,0.00035
0.00097,0.00027
0.00089,0.00027
0.00115,0.00033
0.00095,0.00030
0.00126,0.00043
0.00109,0.00040
0.00092,0.00026
0.00121,0.00029
0.00297,0.00025
0.00103,0.00035
0.00089,0.00024
0.00083,0.00034
0.00103,0.00025
0.00113,0.00039
0.00126,0.00035
0.00110,0.00034
0.00118,0.00038
0.00122,0.00038
0.00123,0.00038
0.00163,0.00061
0.00175,0.00061
0.00202,0.00072
0.00264,0.00067
0.00201,0.00061
0.00179,0.00055
0.00203,0.00066
0.00169,0.00049
0.00199,0.00059
0.00176,0.00069
0.00200,0.00051
0.00162,0.00054
0.00185,0.00058
0.00175,0.00057
0.00162,0.00055
0.00155,0.00055
0.00177,0.00055
0.00174,0.00055
0.00172,0.00068
0.00194,0.00056
0.00178,0.00062
0.00181,0.00057
0.00176,0.00053
0.00185,0.00054
